央视频道,#genre#

CCTV-1综合,http://39.135.34.132:8080/000000001000/1000000001000021973/1.m3u8?channel-id=ystenlive
CCTV-2财经,http://39.135.34.132:8080/000000001000/1000000001000012442/1.m3u8?channel-id=ystenlive
CCTV-3综艺,http://39.135.34.132:8080/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive
CCTV-4中文国际,http://39.135.34.132:8080/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive
CCTV-5体育,http://39.135.34.132:8080/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive
CCTV-5+体育赛事,http://39.135.34.132:8080/000000001000/1000000001000020505/1.m3u8?channel-id=ystenlive
CCTV-6电影,http://39.135.34.132:8080/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive
CCTV-6电影[联通],http://121.31.30.91:8081/ysten-business/live/cctv-6/1.m3u8
CCTV-7国防军事,http://39.135.34.132:8080/000000001000/7050628689018054317/1.m3u8?channel-id=ystenlive
CCTV-8电视剧,http://39.135.34.132:8080/000000001000/1000000001000003736/1.m3u8?channel-id=ystenlive
CCTV-9纪录,http://39.135.34.132:8080/000000001000/1000000001000028286/1.m3u8?channel-id=ystenlive
CCTV-10科教,http://39.135.34.132:8080/000000001000/7019587760656900133/1.m3u8?channel-id=ystenlive
CCTV-10科教[移动],http://112.17.40.145:80/PLTV/88888888/224/3221226472/1.m3u8
CCTV-11戏曲,http://39.135.34.132:8080/000000001000/1000000002000019789/1.m3u8?channel-id=ystenlive
CCTV-12社会与法,http://39.135.34.132:8080/000000001000/1000000001000001640/1.m3u8?channel-id=ystenlive
CCTV-13新闻,http://39.135.34.132:8080/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive
CCTV-14少儿,http://39.135.34.132:8080/000000001000/8203666801302077036/1.m3u8?channel-id=ystenlive
CCTV-15音乐,http://39.135.34.132:8080/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive
CCTV-17农业农村,http://39.135.34.132:8080/000000001000/1000000005000056836/1.m3u8?channel-id=ystenlive


卫视频道,#genre#

湖南卫视高清,http://39.135.34.132:8080/000000001000/1000000001000009115/1.m3u8?channel-id=ystenlive
北京卫视高清,http://39.135.34.132:8080/000000001000/1000000001000017156/1.m3u8?channel-id=ystenlive
浙江卫视高清,http://39.135.34.132:8080/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive
江苏卫视高清,http://39.135.34.132:8080/000000001000/1000000001000004684/1.m3u8?channel-id=ystenlive
东方卫视高清,http://39.135.34.132:8080/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive
安徽卫视高清,http://39.135.34.132:8080/000000001000/4774346722046993363/1.m3u8?channel-id=ystenlive
黑龙江卫视高清,http://39.135.34.132:8080/000000001000/8467838254824392379/1.m3u8?channel-id=ystenlive
辽宁卫视高清,http://39.135.34.132:8080/000000001000/1000000002000024033/1.m3u8?channel-id=ystenlive
深圳卫视高清,http://39.135.34.132:8080/000000001000/1000000001000011645/1.m3u8?channel-id=ystenlive
广东卫视高清,http://39.135.34.132:8080/000000001000/1000000001000028357/1.m3u8?channel-id=ystenlive
天津卫视高清,http://39.135.34.132:8080/000000001000/1000000001000000831/1.m3u8?channel-id=ystenlive
湖北卫视高清,http://39.135.34.132:8080/000000001000/6956052407855047826/1.m3u8?channel-id=ystenlive
山东卫视高清,http://39.135.34.132:8080/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive
